molecule_chembl_id,canonical_smiles,standard_value,binding_affinity
CHEMBL3311518,OC[C@@H]1N[C@@H](CCCCc2ccc(F)cc2)[C@H](O)[C@H]1O,180,-7.38
CHEMBL460255,[O-][S+]1CC(O)C(O)C(O)CC(O)CC(O)C(O)C(O)C(O)C1,186,-5.789
CHEMBL4855744,O=C(Sc1nncs1)c1ccc(-c2ccc(Cl)cc2)o1,186,-7.725
CHEMBL5189075,OC[C@]1(c2ccccc2)NC[C@H](O)[C@H]1O,190,-5.294
CHEMBL2374255,OC[C@@]1(O)C[C@H](NC[C@@H](O)c2ccccc2)[C@H](O)[C@H](O)[C@H]1O,190,-5.85
CHEMBL2177691,CC(C)CCC[C@@H]1N[C@@H](CO)[C@H](O)[C@H]1O,190,-5.741
CHEMBL4868336,CCCCCCCCCCC[C@]1(CO)NC[C@H](O)[C@@H](O)[C@@H]1O.Cl,190,None
CHEMBL4856375,C[C@]1(CO)NC[C@H](O)[C@@H](O)[C@@H]1O.Cl,200,None
CHEMBL5191437,OC[C@@]1(c2ccc(F)cc2)NC[C@@H](O)[C@@H]1O,200,-5.427
CHEMBL3354062,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1ccccc1-c1ccccc1,200,-7.219
CHEMBL1641739,CCCC[C@@H]1N[C@@H](CO)[C@H](O)[C@H]1O,200,-5.652
CHEMBL3354063,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1cccc(-c2ccccc2)c1,200,-7.337
CHEMBL4857181,CCC[C@]1(CO)NC[C@H](O)[C@@H](O)[C@@H]1O.Cl,200,None
CHEMBL3763319,OC[C@@H]1[C@@H](O)[C@H](O)C[S+]1C[C@@H](O)[C@H](OCc1ccccc1C(F)(F)F)[C@H](O)[C@@H](O)CO.[Cl-],200,None
CHEMBL3764223,O=[N+]([O-])c1cccc(CO[C@H]([C@H](O)[C@@H](O)CO)[C@H](O)C[S+]2C[C@@H](O)[C@H](O)[C@H]2CO)c1.[Cl-],210,-6.813
CHEMBL2177690,OC[C@@H]1N[C@@H](CCCCc2ccccc2)[C@H](O)[C@H]1O,220,-7.471
CHEMBL5198563,CCCC[C@@]1(CO)NC[C@H](O)[C@H]1O,220,-5.903
